"","x"
"1",7184.91394470983
"2",6633.31775549271
"3",6656.79792161898
"4",6619.28250978533
"5",6629.14257419251
"6",6579.24923728869
"7",7022.15338379377
"8",7603.86249154883
"9",8047.90030340065
"10",8101.8435427006
"11",8207.73642939875
"12",8225.36526365231
"13",8105.81681298895
"14",7704.15610250271
"15",7910.22653600832
"16",7841.99892371607
"17",7839.505383663
"18",7846.63429110734
"19",7942.51876280829
"20",7929.59215098317
"21",7874.01031186091
"22",7162.48749992044
"23",7113.14906215693
"24",6895.62600658791
"25",6726.478276218
"26",6630.03643192387
"27",6631.39820764539
"28",6631.23802818769
"29",6621.20233027619
"30",6578.31411892265
"31",6968.86416920984
"32",7588.91712208222
"33",7888.42813310719
"34",7979.97783588759
"35",8030.19840900193
"36",8103.49955683931
"37",7957.774058067
"38",7771.06009472887
"39",7762.18378108637
"40",7817.46759297014
"41",7814.23667128019
"42",7576.55487528311
"43",7804.79935080254
"44",7769.75128987127
"45",7720.43719466242
"46",7449.49991075282
"47",7072.76402621826
"48",6805.46771016039
"49",6604.98126022344
"50",6637.26385189394
"51",6620.55977751211
"52",6574.31324574992
"53",6616.63164405632
"54",6596.6022634458
"55",6845.94373027205
"56",7458.99155759415
"57",7864.31683351021
"58",8060.20603790797
"59",8176.05357670389
"60",8174.51048839879
"61",7830.79802012642
"62",7923.18300634424
"63",7915.04407433861
"64",7791.14414846255
"65",7672.14430978374
"66",7660.83867630628
"67",7821.61273205195
"68",7664.89670103684
"69",7597.88544654307
"70",7015.40442105516
"71",6929.93428308493
"72",6677.75429058294
"73",6658.66372331643
"74",6646.28174028933
"75",6414.99960957783
"76",6688.77670821797
"77",6516.88574101313
"78",6457.03775201154
"79",6450.50779084329
"80",6712.19326819602
"81",7070.32611935229
"82",7544.57689166912
"83",7494.14487135047
"84",7502.92512596157
"85",7441.99851542951
"86",7252.70371636233
"87",7250.83252827011
"88",7216.89316209239
"89",7246.84441406168
"90",7148.52774743336
"91",7371.61055149468
"92",7545.97887543498
"93",6953.5832046701
"94",6865.14787588625
"95",6742.43996525401
"96",6609.3471071068
"97",6483.33620249389
"98",6629.72353510783
"99",6561.40274614497
"100",6576.72758106158
"101",6424.0085364154
"102",6350.88767795012
"103",6605.39081623447
"104",6674.61968636367
"105",7025.01003033278
"106",7290.21310859648
"107",7351.86309708233
"108",7407.83577645322
"109",7130.11896468087
"110",7219.18573353277
"111",7202.19822188468
"112",6965.84759638568
"113",7038.56698329352
"114",6953.15449531046
"115",7210.89423630475
"116",7366.45932850482
"117",7198.79548057806
"118",6948.50488250087
"119",6781.18538283788
"120",6577.30388755099
"121",6476.36395859171
"122",6504.8070554364
"123",6518.70431898475
"124",6548.40809582035
"125",6480.48793941442
"126",6635.21800674251
"127",6872.76136737881
"128",7564.34033902775
"129",7925.05402591307
"130",8189.5197225399
"131",8255.59400084698
"132",8292.3947576592
"133",8053.75917264106
"134",8044.01680215214
"135",8024.81714559344
"136",7688.91999911675
"137",7628.91069138768
"138",7817.43548150246
"139",8078.86213068112
"140",7951.27267432244
"141",7618.06664891798
"142",7510.09070675703
"143",7022.74757669171
"144",6922.46820138529
"145",6605.84414364104
"146",6702.02031180724
"147",6745.41284083045
"148",6776.96007175823
"149",6665.53439877687
"150",6728.46045231442
"151",7009.14063870772
"152",7398.02444842082
"153",7994.70025910509
"154",8263.59024555315
"155",8346.25561068984
"156",8336.60132437915
"157",8138.89042020739
