"","x"
"1",7160.6346693142
"2",6565.82374177542
"3",6552.04389278386
"4",6532.26696790579
"5",6455.99487497959
"6",6477.14029127728
"7",6717.86769026254
"8",7149.73945845601
"9",7604.64145479736
"10",7829.51390981249
"11",7947.39712754909
"12",8050.68096563015
"13",7884.54945964372
"14",7767.15448299396
"15",7704.02848153025
"16",7587.9682263631
"17",7514.11252222663
"18",7553.18935600252
"19",7690.67435887753
"20",7706.96331087607
"21",7464.08960411572
"22",7224.51468134745
"23",7031.74435984834
"24",6858.46262291952
"25",6659.28484211073
"26",6585.71437457324
"27",6590.53744226119
"28",6549.71255831241
"29",6500.81456739194
"30",6522.33449607491
"31",6779.09204961032
"32",7204.07784356227
"33",7653.41892642899
"34",7860.62734643394
"35",7980.06503479484
"36",8101.68782170522
"37",7930.4103007381
"38",7837.05251902787
"39",7778.78854018528
"40",7676.25091533738
"41",7588.76748701645
"42",7550.6379342061
"43",7700.0659394748
"44",7706.64820633038
"45",7495.80460255807
"46",7230.82492844964
"47",7016.35560208707
"48",6844.9350181954
"49",6652.16833401395
"50",6500.89240459729
"51",6480.73406352593
"52",6475.19329440407
"53",6381.35381880036
"54",6446.58211058737
"55",6648.90320311421
"56",7035.69969072654
"57",7520.20860821518
"58",7748.18569923428
"59",7883.53205891603
"60",7988.60211448977
"61",7814.62274354011
"62",7768.44739888064
"63",7712.72981905096
"64",7607.09959811783
"65",7539.14201640837
"66",7523.58226502175
"67",7603.30523073051
"68",7579.01805115018
"69",7400.65380668498
"70",7160.23591320184
"71",6950.09101232844
"72",6756.68924113102
"73",6612.89523528286
"74",6582.12524046995
"75",6565.44501756544
"76",6597.88708320828
"77",6524.89688253911
"78",6552.45111752847
"79",6779.76137240735
"80",7206.61294114026
"81",7620.74015909664
"82",7875.70792544031
"83",8032.17589346388
"84",8180.61757855555
"85",8008.30349909678
"86",7921.65194680343
"87",7887.77160634406
"88",7796.36082012067
"89",7675.77217229464
"90",7584.00781504768
"91",7645.07370457148
"92",7608.06539600925
"93",7401.85888471258
"94",7160.54971740055
"95",6977.13916854437
"96",6856.67443512554
"97",6722.52134481068
"98",6654.92900169432
"99",6640.69881649686
"100",6654.14922517997
"101",6567.28126624595
"102",6591.28570045708
"103",6793.74041691921
"104",7165.27211162599
"105",7631.14582352363
"106",7887.47496515307
"107",8043.01702802352
"108",8176.36078367706
"109",8055.13661093006
"110",8009.79795178406
"111",7997.47620002908
"112",7908.42091426143
"113",7827.11290972773
"114",7764.61044534643
"115",7819.64134262117
"116",7786.39705187064
"117",7569.61662969102
"118",7322.71847471143
"119",7103.29497206724
"120",6929.17475620841
"121",6721.59640699288
"122",6693.07282317108
"123",6666.537401256
"124",6643.71822349514
"125",6551.91233001377
"126",6588.96824519994
"127",6813.47771292586
"128",7259.95430941307
"129",7684.40784770587
"130",7916.36741327066
"131",8062.74753194338
"132",8192.24968139344
"133",8045.96004235885
"134",7989.11382728954
"135",7932.62071701192
"136",7837.41640846927
"137",7747.83626598057
"138",7689.4837294937
"139",7786.23384866497
"140",7809.76395459035
"141",7570.98045595771
"142",7307.04530298837
"143",7122.52945525529
"144",6934.80987931484
"145",6766.87645347886
"146",6679.81944998917
"147",6683.99305699581
"148",6669.57994183693
"149",6590.08099011621
"150",6658.08944875678
"151",6893.30691646183
"152",7295.74135412651
"153",7748.91061822578
"154",7989.52574031833
"155",8118.782063625
"156",8245.8510142608
"157",8092.40963581499
"158",8016.51678684265
"159",8002.00791532093
"160",7921.9477778108
"161",7837.35972410191
"162",7766.76241474942
"163",7830.61084466411
"164",7784.56888426319
"165",7572.30082080021
"166",7334.73580790466
"167",7106.4441394063
"168",6945.7339405862
"169",6743.30989854222
"170",6678.60665606068
"171",6646.90658522722
"172",6630.12777382533
"173",6535.9606346489
"174",6584.06290948393
"175",6807.02571341121
"176",7228.86032480519
"177",7689.9740952587
"178",7946.49933854055
"179",8084.02480240724
"180",8242.62843689233
"181",8090.27641124289
"182",8038.74459908071
"183",8008.19986243605
"184",7923.94495720018
"185",7833.05243240706
