"","x"
"1",6099.90942000388
"2",7054.31011122547
"3",7023.9933595986
"4",6980.25030689427
"5",7142.19850787435
"6",7317.97902453152
"7",7934.1954485929
"8",8417.66349137063
"9",8646.33042060792
"10",8650.68638539779
"11",8578.69905031266
"12",8466.46063229857
"13",8437.67501446054
"14",8016.61028892516
"15",8186.66405190007
"16",8133.69635593937
"17",8241.37893383027
"18",8312.51382860852
"19",8239.23483020134
"20",8057.52072435322
"21",7996.38418039976
"22",7370.72038882224
"23",7321.02848362555
"24",6577.61214174183
"25",6410.97431611304
"26",6984.7157806687
"27",6932.28063863708
"28",6925.89281830869
"29",7067.9452569701
"30",7250.73089917755
"31",7814.59322702103
"32",8336.40511491609
"33",8420.54524332653
"34",8462.50767159686
"35",8334.84802292791
"36",8278.28191849764
"37",8223.31925255066
"38",8017.20127416339
"39",7972.30828999019
"40",8042.8520182055
"41",8149.79721445953
"42",7976.12140579637
"43",8035.20241120767
"44",7831.36685625339
"45",7776.49805621334
"46",7591.41979266668
"47",7214.33044069894
"48",6421.14083832638
"49",7123.79533484896
"50",7154.91569887007
"51",7138.49428231579
"52",7091.88599540965
"53",7134.16684374935
"54",7114.50424181578
"55",7363.28605357343
"56",7975.40528329537
"57",8380.11116170685
"58",8576.6477248907
"59",8692.47394921451
"60",8690.99714674053
"61",8348.1742744123
"62",8440.05376004228
"63",8431.41111909721
"64",8307.09364016601
"65",8188.31281270609
"66",8176.90657848447
"67",8337.4101156597
"68",8181.89841960109
"69",8114.10625945093
"70",7533.05485924377
"71",7447.0515845687
"72",7195.53064892406
"73",7284.04421082026
"74",7272.96178255754
"75",7043.42737861911
"76",7314.85301342878
"77",7144.26458656999
"78",7085.10514898085
"79",7079.30637026528
"80",7340.25015477472
"81",7698.87153131752
"82",8172.02934511646
"83",8122.53676720957
"84",8131.89872655043
"85",8070.47567782379
"86",7881.98620139769
"87",7879.46265587368
"88",7844.23723548873
"89",7873.56089674491
"90",7775.87007906733
"91",7997.87052982436
"92",8172.45951753772
"93",7581.91854412396
"94",7492.74458432963
"95",7369.60476570893
"96",7237.18015798284
"97",7274.41759028548
"98",7417.43477264985
"99",7350.15565351865
"100",7364.51332828544
"101",7212.83138682032
"102",7140.68534172649
"103",7394.43234036628
"104",7464.56887894174
"105",7815.80537939111
"106",8081.34252480585
"107",8143.4036255474
"108",8199.87473581323
"109",7923.91505950723
"110",8010.88380290321
"111",7993.18586251295
"112",7757.47772132467
"113",7828.25461925987
"114",7743.54624002157
"115",7999.38705721813
"116",8154.90937615835
"117",7986.22731315478
"118",7736.98135523285
"119",7569.19723522839
"120",7367.22726214428
"121",7342.61829364546
"122",7370.0792931673
"123",7384.04130376842
"124",7412.19715717451
"125",7344.42860588773
"126",7497.18235350083
"127",7734.00939374482
"128",8418.59671219168
"129",8779.21338431329
"130",9043.10175997987
"131",9110.36328111563
"132",9148.36329221335
"133",8911.54031538636
"134",8900.62655051143
"135",8881.09819304302
"136",8547.93106732775
"137",8487.13879475457
"138",8672.74166753277
"139",8931.26984539992
"140",8807.22544849352
"141",8475.67857481707
"142",8366.66418474815
"143",7883.76631899915
"144",7784.20194459354
"145",7357.0120562267
"146",7451.63053906316
