"","x"
"1",5626.92780382537
"2",6569.72659538794
"3",6486.72999819285
"4",6530.56803768279
"5",6773.94161038889
"6",7170.68657995221
"7",7635.74912115004
"8",7910.79167594801
"9",8078.24904793729
"10",8200.20129561197
"11",8033.0767487216
"12",7943.14689492227
"13",7874.97646642544
"14",7699.43319636757
"15",7567.82893655697
"16",7468.77348713736
"17",7527.57986616124
"18",7600.95806740936
"19",7477.51309802567
"20",7278.59705192825
"21",7037.58624066432
"22",6879.15083413769
"23",6701.70751195049
"24",6097.00986962234
"25",5769.09404767207
"26",6562.08567445636
"27",6497.69199394079
"28",6520.48207436001
"29",6791.22974907184
"30",7188.34923102044
"31",7669.44192676843
"32",7937.59850732488
"33",8099.49496583953
"34",8203.78317850402
"35",8038.21310223796
"36",7966.62219726795
"37",7893.30575379043
"38",7741.79967867208
"39",7615.05744148261
"40",7529.52462238225
"41",7574.70327722166
"42",7570.87509188354
"43",7459.37312489354
"44",7250.75039365317
"45",7041.76968537727
"46",6857.92952751048
"47",6658.78720045982
"48",6055.95071116883
"49",7324.26696191565
"50",7173.6584821395
"51",7153.4846915617
"52",7147.67813648079
"53",7054.08168739758
"54",7119.22006552165
"55",7321.69969382814
"56",7707.91145936356
"57",8192.50671005204
"58",8420.49834562851
"59",8555.65898175809
"60",8660.69114209281
"61",8486.77170762245
"62",8440.39877501812
"63",8384.34181318367
"64",8278.44043989671
"65",8210.72534814435
"66",8194.8298054392
"67",8274.42179103436
"68",8250.53504599343
"69",8072.61372884236
"70",7831.976706132
"71",7621.96846506041
"72",7428.81100219295
"73",7323.9331544889
"74",7293.52926190995
"75",7276.61014682372
"76",7308.83732659101
"77",7236.66073035107
"78",7263.29092226254
"79",7491.09840395235
"80",7916.17500346469
"81",8330.29732213009
"82",8585.10575034904
"83",8741.73205207396
"84",8890.22906235217
"85",8718.02267461028
"86",8630.90305393813
"87",8597.45435924002
"88",8505.19489829974
"89",8384.46306891878
"90",8293.27315846653
"91",8354.80348315321
"92",8317.88371913978
"93",8111.38955558545
"94",7869.01781396979
"95",7685.73975034541
"96",7566.62013822239
"97",7574.36258486795
"98",7506.75983178613
"99",7492.55844077705
"100",7505.83246517001
"101",7419.40087459031
"102",7442.40176380798
"103",7645.07567894113
"104",8013.33558155568
"105",8479.70176479432
"106",8736.46752879236
"107",8891.07579890549
"108",9023.96038216475
"109",8903.12819860712
"110",8857.46557089578
"111",8845.04941824997
"112",8755.11739993689
"113",8673.32079456716
"114",8611.03547164633
"115",8666.34114877963
"116",8633.99677174051
"117",8417.23799626672
"118",8170.00169938108
"119",7950.22756565348
"120",7777.70540625915
"121",7416.73428152948
"122",7387.40721566147
"123",7361.02335193138
"124",7337.92742923343
"125",7246.75757898355
"126",7282.39908234904
"127",7506.92520770261
"128",7951.24401224522
"129",8374.61391471887
"130",8606.27515511008
"131",8753.07142895071
"132",8882.0483703665
"133",8736.46641416071
"134",8679.28801404815
"135",8623.90891887559
"136",8527.73265229011
"137",8438.22535477943
"138",8380.1846258097
"139",8477.20059305643
"140",8501.17356133688
"141",8264.01891579358
"142",8001.29289960971
"143",7816.11035231082
"144",7630.37727252683
"145",7278.56764928366
"146",7188.28703176686
"147",7193.20993536701
"148",7178.28794697673
"149",7098.16020579515
"150",7165.90106812918
"151",7402.01441846293
"152",7799.15184397449
"153",8251.62513868142
"154",8492.24627129596
"155",8620.44585486761
"156",8747.71195714994
"157",8594.68712190463
"158",8519.27064566527
"159",8504.4686024917
"160",8424.54357793928
"161",8341.09025103054
"162",8270.37371061709
"163",8333.95709199556
"164",8289.2068400727
"165",8076.8743948045
"166",7839.40166511496
"167",7611.65075091625
"168",7453.03070870306
"169",7653.8185932769
"170",7594.01573810172
"171",7562.66269941367
"172",7545.32931719814
"173",7451.47191329476
"174",7498.4891055755
