idx,tbats_fc
1,7419.391349872
2,7552.02370829484
3,7686.24986996617
4,7847.93788687234
5,8039.89972257712
6,8224.48099437254
7,8420.79371678861
8,8629.07656731745
9,8808.19619553091
10,8970.21905627975
11,9117.01706082609
12,9210.90393467962
13,9264.22423486947
14,9286.60186077492
15,9249.50142337855
16,9169.89763316421
17,9067.15833268589
18,8922.65205627834
19,8757.08211762935
20,8596.31445209488
21,8427.38501415362
22,8269.53443764091
23,8148.54645184603
24,8050.61454742145
25,7987.37395200303
26,7978.36675990203
27,8004.08578679666
28,8065.28648826479
29,8173.0016884213
30,8301.708484613
31,8442.98113046944
32,8602.15384403893
33,8752.10867854657
34,8881.08416589098
35,8994.82601788599
36,9071.17211346404
37,9101.75150161575
38,9098.43415144046
39,9048.8246585255
40,8951.75866597025
41,8827.09832448095
42,8672.42240236751
43,8492.58436301079
44,8312.28290204935
45,8134.49858620143
46,7964.73738447026
47,7826.13515771538
48,7720.33837871067
49,7647.22936194642
50,7622.43272387538
51,7641.23979501621
52,7694.51196862993
53,7788.30927302874
54,7911.13189619129
55,8046.39552517492
56,8193.61203681826
57,8338.82172073159
58,8463.71322078394
59,8567.55240889401
60,8640.4069201987
61,8668.83450641897
62,8657.74386366244
63,8605.99928820945
64,8508.71172785303
65,8378.45984900295
66,8223.08964777495
67,8044.94430397912
68,7861.25904624888
69,7684.28345077534
70,7518.09690202118
71,7378.3173036666
72,7274.8705862843
73,7207.16846252104
74,7183.37237347111
75,7206.08453380249
76,7266.52830698576
77,7363.44907330673
78,7491.72065760851
79,7635.83527327359
80,7788.21771843417
81,7940.38451770572
82,8075.70365086296
83,8186.64673532783
84,8267.90691000412
85,8308.21926861595
86,8306.04352664325
87,8264.0706927801
88,8179.98969149481
89,8060.31615070593
90,7915.97978027828
91,7752.21275398455
92,7580.60313661719
93,7415.79958790699
94,7264.99981308148
95,7138.61067338878
96,7048.33235762743
97,6996.85050383373
98,6987.56323242996
99,7024.28242745576
100,7101.59515562384
101,7213.93516817081
102,7356.88116345151
103,7518.32073377297
104,7686.81606100374
105,7854.14234603103
106,8007.04399249956
107,8134.5706256986
108,8231.28463439438
109,8289.23510085195
110,8303.88716306169
111,8277.46607297081
112,8210.87560319635
113,8108.04702221358
114,7979.16092441261
115,7832.53484437556
116,7677.56229638053
117,7527.90801523689
118,7393.70114319916
119,7283.52089120464
120,7207.89392356909
121,7172.2643977214
122,7178.54492552794
123,7229.22597421023
124,7321.4661818793
125,7448.52991135243
126,7604.56466239349
127,7779.83310160012
128,7962.01738159639
129,8141.38620397226
130,8306.8570032955
131,8446.86169696279
132,8554.4117458274
133,8623.52520776957
134,8649.28492272793
135,8632.34811562851
136,8575.38454816334
137,8482.15216183487
138,8361.27031700775
139,8222.6232657667
140,8075.61449318563
141,7932.37488506238
142,7804.40697870535
143,7700.45858805674
144,7629.56736864198
145,7598.36534679846
146,7609.06890726337
147,7662.73885062508
148,7757.54544124668
149,7887.16987791579
150,8044.40108319506
151,8220.34754623277
152,8403.20068060127
153,8581.9509017231
154,8746.20695472662
155,8884.98335106733
156,8990.100427565
157,9056.12491168148
158,9078.77807086208
159,9057.61792637529
160,8995.73247443753
161,8897.55802805614
162,8770.70952657503
163,8625.37134650176
164,8471.65100283789
165,8320.77092259623
166,8184.42791316434
167,8072.08676788629
168,7991.97235007336
169,7950.81712664474
170,7951.5562339941
171,7994.53177564985
172,8077.93228446322
173,8196.14977814835
174,8341.34592022674
175,8504.57647335412
176,8674.72743329772
177,8840.24983090783
178,8990.63929587545
179,9115.58170170153
180,9206.44157277481
181,9257.62209670454
182,9265.48693283022
183,9229.21697633893
184,9151.6955303757
185,9037.96772131309
186,8895.34472209475
187,8733.77360580268
188,8563.93356101762
189,8396.81097016847
190,8243.84052145717
191,8115.01893235548
192,8018.39691113393
193,7960.42702947275
194,7944.53484527937
195,7970.9442739813
196,8037.5524669718
197,8139.19937081267
198,8267.97850662481
199,8414.64832437014
200,8568.49993841624
201,8717.96044278976
202,8852.22706686465
203,8961.34826036831
204,9036.70312578647
205,9072.39952551087
206,9065.12192336507
207,9014.09882392937
208,8921.92479818097
209,8793.9252007848
210,8637.48661623231
211,8462.27689215789
212,8279.21641712286
213,8099.38985064998
214,7933.9645153161
215,7793.14113339242
216,7685.08694110095
217,7616.00084273449
218,7589.47726277716
219,7605.87062417202
220,7662.83947999724
221,7755.35973023126
222,7875.66546948791
223,8014.29256923656
224,8160.63752719773
225,8303.27452887959
226,8431.19482280206
227,8534.52408857274
228,8604.79185794987
229,8635.91686116096
230,8624.63508933065
231,8570.32599888989
232,8475.41184627784
233,8345.24626199529
234,8187.36484759751
235,8011.27968330763
236,7827.91860414324
237,7648.51124155166
238,7484.0852282351
239,7344.83027187386
240,7239.05275819845
241,7172.82734820626
242,7149.72128479262
243,7170.22085730707
244,7231.8750646768
245,7329.61866137923
246,7455.80916271956
247,7600.88672315644
248,7754.19482993889
249,7904.42175892972
250,8040.47596104542
251,8152.42022521738
252,8231.88821537654
253,8272.72782583202
254,8271.60414018872
255,8227.99039583707
256,8144.24899992505
257,8025.65639578615
258,7879.8314341411
259,7716.23635978028
260,7545.71714932257
261,7379.57616099936
262,7228.80025214703
263,7103.4940796792
264,7012.02641085422
265,6960.43927043118
266,6952.21300826539
267,6987.88627294493
268,7064.98268940931
269,7178.3495002253
270,7320.38700519689
271,7481.51642294579
272,7650.99420977905
273,7817.54240297339
274,7970.05619083981
275,8098.51279257504
276,8194.57124664479
277,8252.07115653445
278,8267.59436256168
279,8240.63179201344
280,8173.5418973943
281,8071.52096050985
282,7942.19858822936
283,7795.03683780333
284,7640.80525685635
285,7490.81080937338
286,7356.04342888598
287,7246.53562766792
288,7170.65542921476
289,7134.45075845436
290,7141.33456349564
291,7191.84020439688
292,7283.49965090193
293,7411.09785765543
294,7567.02608742854
295,7741.71602530002
296,7924.36724240797
297,8103.68976721837
298,8268.59110475883
299,8408.99720422522
300,8516.55287092089
301,8585.11165022045
302,8611.20986884103
303,8594.32270619758
304,8536.82399744069
305,8443.87034237625
306,8323.07474990992
307,8183.91595111889
308,8037.1296573544
309,7894.00599811053
310,7765.55275130337
311,7661.77439646899
312,7591.02244373235
313,7559.36373548052
314,7570.18889667821
315,7624.01559311922
316,7718.39570511072
317,7848.09743243331
318,8005.49759834348
319,8181.04872378818
320,8363.93900884799
321,8542.86566885189
322,8706.75790940243
323,8845.53546886871
324,8950.83227267953
325,9016.52437356527
326,9039.1467888949
327,9018.16599376789
328,8955.97907818745
329,8857.74594397439
330,8731.07324995788
331,8585.4636654343
332,8431.66049737359
333,8280.94999621636
334,8144.36448957171
335,8031.92000444003
336,7951.9667002052
337,7910.59649844
338,7911.21516124838
339,7954.34153280189
340,8037.55300828797
341,8155.63613525878
342,8300.97139234387
343,8464.03714431321
344,8634.04275724249
345,8799.69147779893
346,8949.93856408707
347,9074.72733639691
348,9165.69998194766
349,9216.75868087163
350,9224.46403964882
351,9188.29284038056
352,9110.66822859744
353,8996.77729067205
354,8854.23881769575
355,8692.58130385265
356,8522.57642473403
357,8355.52413885395
358,8202.4821987585
359,8073.4957764971
360,7976.93004173215
361,7918.9017630009
362,7902.8462232688
363,7929.29828683328
364,7995.85943331241
365,8097.34571657227
366,8226.15433951385
367,8372.78680015373
368,8526.48157936957
369,8675.95903854947
370,8810.19642779205
371,8919.16543014049
372,8994.52542152865
373,9030.19924417348
374,9022.77477405017
375,8971.7457418188
376,8879.55444086861
377,8751.41381467189
378,8594.95905572463
379,8419.73611483474
380,8236.54081779457
381,8056.68868210005
382,7891.25305893218
383,7750.30129612984
384,7642.21300064308
385,7573.1185280263
386,7546.47312422366
387,7562.82470976955
388,7619.78620191757
389,7712.19119728383
390,7832.44833804741
391,7971.06829113937
392,8117.30448510968
393,8259.88689432493
394,8387.79957049468
395,8491.02640826418
396,8561.23439015222
397,8592.35071692257
398,8580.9726339146
399,8526.59932335247
400,8431.67494293001
401,8301.41889253681
402,8143.46954579699
403,7967.37219841068
404,7783.92618467714
405,7604.44785184279
406,7440.00737847205
407,7300.67267371293
408,7194.82177719324
409,7128.57938400546
410,7105.39839016406
411,7125.82274164558
412,7187.45726511399
413,7285.13036643059
414,7411.24433115506
415,7556.29939116782
416,7709.54104715799
417,7859.69059465734
418,7995.71941897458
419,8107.60088531275
420,8186.99106854077
421,8227.80241132628
422,8226.61919347784
423,8182.92758615974
424,8099.15506218961
425,7980.50581313941
426,7834.60325361769
427,7670.97425619269
428,7500.40092271008
429,7334.18287661786
430,7183.37034522917
431,7058.01222236697
432,6966.46826729633
433,6914.84192517169
434,6906.56555470541
435,6942.16349523531
436,7019.21827092526
437,7132.53650568275
438,7274.49980127139
439,7435.58529446953
440,7605.01574973706
441,7771.49096614237
442,7923.95871201437
443,8052.36896195528
444,8148.35575793206
445,8205.80768199879
446,8221.28527479634
447,8194.252422356
