;model_name;config;dropout;train_loss;train_rmse;train_mae;train_mape;valid_loss;valid_rmse;valid_mae;valid_mape;test_rmse;test_mae;test_mape;epochs;batch_train;input_shape;total_time;time_step;splits
0;1_02_1_l-5;{'name': '02_1_l-5', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.410586841;0;0.388221224;0;0.174898766;0;0.346016781;0;0;0;0;Nov 30;8;(18240, [1], 44);165.7194521;0;2017-02-01 00:00:00+01:00
1;1_02_2_l-5_d-0.1;{'name': '02_2_l-5_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.439314655;0;0.41558259;0;0.15190115;0;0.309915035;0;0;0;0;18/30;8;(18240, [1], 44);294.562187;0;2017-02-01 00:00:00+01:00
2;1_02_3_l-5_d-0.2;{'name': '02_3_l-5_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.470993868;0;0.43557788;0;0.177436793;0;0.340434101;0;0;0;0;13/30;8;(18240, [1], 44);214.5012662;0;2017-02-01 00:00:00+01:00
3;1_02_4_l-5_l-10;{'name': '02_4_l-5_l-10', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.416582636;0;0.395089634;0;0.198196677;0;0.362026889;0;0;0;0;Mai 30;8;(18240, [1], 44);182.8771632;0;2017-02-01 00:00:00+01:00
4;1_02_5_l-5_l-10_d-0.1;{'name': '02_5_l-5_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.462010638;0;0.434820179;0;0.214696734;0;0.380317528;0;0;0;0;Mär 30;8;(18240, [1], 44);142.5316057;0;2017-02-01 00:00:00+01:00
5;1_02_6_l-5_l-10_d-0.2;{'name': '02_6_l-5_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.453359356;0;0.424857944;0;0.1570434;0;0.311952004;0;0;0;0;13/30;8;(18240, [1], 44);373.8222952;0;2017-02-01 00:00:00+01:00
6;1_02_7_l-5_l-15;{'name': '02_7_l-5_l-15', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 15, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.406619231;0;0.386101667;0;0.162999383;0;0.320395514;0;0;0;0;Sep 30;8;(18240, [1], 44);228.9944913;0;2017-02-01 00:00:00+01:00
7;1_02_8_l-5_l-15_d-0.1;{'name': '02_8_l-5_l-15_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 15, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.451290152;0;0.420620546;0;0.190892745;0;0.355340865;0;0;0;0;Jun 30;8;(18240, [1], 44);164.9521012;0;2017-02-01 00:00:00+01:00
8;1_02_9_l-5_l-15_d-0.2;{'name': '02_9_l-5_l-15_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 15, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.463045822;0;0.435812664;0;0.180830246;0;0.340934817;0;0;0;0;Jul 30;8;(18240, [1], 44);233.9332933;0;2017-02-01 00:00:00+01:00
9;1_02_10_l-5_l-20;{'name': '02_10_l-5_l-20', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.416480072;0;0.39572682;0;0.22316739;0;0.385446834;0;0;0;0;Mai 30;8;(18240, [1], 44);186.2206311;0;2017-02-01 00:00:00+01:00
