;model_name;config;dropout;train_loss;train_rmse;train_mae;train_mape;valid_loss;valid_rmse;valid_mae;valid_mape;test_rmse;test_mae;test_mape;epochs;batch_train;input_shape;total_time;time_step;splits
0;model3_1_l-10;{'name': 'model3_1_l-10', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 32, 'timesteps': 1};0.0;0.4902211575824214;0.0;0.4538660851297992;0.0;0.12769502037121813;0.0;0.2825079902563945;0.0;0.0;0.0;0.0;13/50;32.0;(16184, [1], 44);12.536196947097778;0.0;[0.8]
1;model3_2_l-10_d-0.1;{'name': 'model3_2_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 32, 'timesteps': 1};0.1;0.5279119812173418;0.0;0.48977577262143096;0.0;0.14456855555498363;0.0;0.3004983203245862;0.0;0.0;0.0;0.0;11/50;32.0;(16184, [1], 44);11.172041654586792;0.0;[0.8]
2;model3_3_l-10_d-0.2;{'name': 'model3_3_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 32, 'timesteps': 1};0.2;0.5311627297265695;0.0;0.4936775107416186;0.0;0.134942291239922;0.0;0.28976090399935694;0.0;0.0;0.0;0.0;14/50;32.0;(16184, [1], 44);13.785679578781128;0.0;[0.8]
3;model3_4_l-10_l-10;{'name': 'model3_4_l-10_l-10', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 32, 'timesteps': 1};0.0;0.48402129850663833;0.0;0.4575845667041174;0.0;0.1667071008446193;0.0;0.3272450076471461;0.0;0.0;0.0;0.0;13/50;32.0;(16184, [1], 44);19.699647665023804;0.0;[0.8]
4;model3_5_l-10_l-10_d-0.1;{'name': 'model3_5_l-10_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 32, 'timesteps': 1};0.1;0.5076518828869973;0.0;0.47267675539939713;0.0;0.14988677441557446;0.0;0.3080235340512625;0.0;0.0;0.0;0.0;16/50;32.0;(16184, [1], 44);27.640727519989014;0.0;[0.8]
5;model3_6_l-10_l-10_d-0.2;{'name': 'model3_6_l-10_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 32, 'timesteps': 1};0.2;0.5527172459907239;0.0;0.4990828417536646;0.0;0.1204491453706333;0.0;0.27213138452555874;0.0;0.0;0.0;0.0;13/50;32.0;(16184, [1], 44);20.467368364334106;0.0;[0.8]
6;model3_7_l-10_l-20;{'name': 'model3_7_l-10_l-20', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 32, 'timesteps': 1};0.0;0.9066606972615538;0.0;0.6782411712009718;0.0;0.25460666454959624;0.0;0.41691830946077213;0.0;0.0;0.0;0.0;2/50;32.0;(16184, [1], 44);10.096030712127686;0.0;[0.8]
7;model3_8_l-10_l-20_d-0.1;{'name': 'model3_8_l-10_l-20_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 32, 'timesteps': 1};0.1;0.5108437887715673;0.0;0.47144133566260926;0.0;0.14682372928698464;0.0;0.30706156716488375;0.0;0.0;0.0;0.0;15/50;32.0;(16184, [1], 44);24.387153387069702;0.0;[0.8]
8;model3_9_l-10_l-20_d-0.2;{'name': 'model3_9_l-10_l-20_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 32, 'timesteps': 1};0.2;0.5219456427039044;0.0;0.4805276366411754;0.0;0.12167360096948572;0.0;0.2742978617696479;0.0;0.0;0.0;0.0;17/50;32.0;(16184, [1], 44);26.9271719455719;0.0;[0.8]
9;model3_10_l-10_l-10;{'name': 'model3_10_l-10_l-10', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 32, 'timesteps': 1};0.0;0.6306950516980325;0.0;0.534399414416587;0.0;0.16980678861093992;0.0;0.33165184769890094;0.0;0.0;0.0;0.0;3/50;32.0;(16184, [1], 44);11.060712814331055;0.0;[0.8]
